N,trees,trees_d3,trees_d4,max_d3,max_d4,max_any,path_score
3,1,1,1,5,5,5,5
4,2,2,2,9,9,9,8
5,3,2,3,14,17,17,13
6,6,4,5,24,26,33,21
7,11,6,9,41,44,65,34
8,23,11,18,66,80,129,55
9,47,18,35,110,145,257,89
10,106,37,75,189,226,513,144
11,235,66,159,305,388,1025,233
12,551,135,355,510,684,2049,377
13,1301,265,802,863,1241,4097,610
14,3159,552,1858,1425,1970,8193,987
15,7741,1132,4347,2345,3330,16385,1597
16,19320,2410,10359,3987,5868,32769,2584
17,48629,5098,24894,6515,10657,65537,4181
18,123867,11020,60523,10905,17001,131073,6765
19,317955,23846,148284,18254,28674,262145,10946
20,823065,52233,366319,30135,50508,524289,17711
21,2144505,114796,910726,49913,90949,1048577,28657
22,5623756,,,84546,147177,2097153,46368
23,14828074,,,138170,247698,4194305,75025
24,39299897,,,231117,432234,8388609,121393
25,104636890,,,386222,778829,16777217,196418
